trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,13,-77.88442651527636,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 2}",1
2,False,"{'a': 0.5, 'e': 0.95}",35,0,-213.54078018755612,"{0: 20, 1: 3, 2: 8, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-110.86286687036248,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-193.30095277413824,"{0: 14, 1: 4, 2: 9, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-184.62141469333162,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-155.73163156834462,"{0: 14, 1: 4, 2: 11, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-30.95861882606671,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-25.350694724700638,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,3,-57.19812739380894,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-153.43182636977326,"{0: 12, 1: 1, 2: 10, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-106.96058214300498,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-135.42995175668122,"{0: 9, 1: 1, 2: 8, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-187.96121834672283,"{0: 12, 1: 3, 2: 7, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-51.63093562962607,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-133.6615738046762,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-144.00319444899353,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-139.85422250432643,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-183.18459808366748,"{0: 11, 1: 0, 2: 12, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,8,-111.57814581262495,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 2}",1
20,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-157.22693242176985,"{0: 18, 1: 0, 2: 10, 3: 0, 4: 2}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-159.30467657929108,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
2,True,"{'a': 0.0, 'e': 0.0}",30,17,-86.31250405280983,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 2}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-165.85196827159356,"{0: 13, 1: 1, 2: 9, 3: 0, 4: 2}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-168.52560920860049,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-124.55378956655169,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,0,-214.3039589613425,"{0: 14, 1: 0, 2: 7, 3: 0, 4: 4}",0
7,True,"{'a': 0.0, 'e': 0.0}",25,0,-123.65650229743837,"{0: 14, 1: 0, 2: 10, 3: 0, 4: 1}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,0,-108.3948184460883,"{0: 15, 1: 0, 2: 9, 3: 0, 4: 1}",0
9,True,"{'a': 0.0, 'e': 0.0}",35,0,-302.5114273746299,"{0: 20, 1: 0, 2: 9, 3: 0, 4: 6}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,0,-146.0918939701911,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
