trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-121.70920025823162,"{0: 14, 1: 6, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.99}",20,0,-17.853017096289154,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9801}",20,0,-127.9230608857538,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9702989999999999}",20,0,-114.17471217396873,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.96059601}",20,0,-228.90658347104213,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 5}",0
6,False,"{'a': 0.5, 'e': 0.9509900498999999}",30,0,-211.91589212592473,"{0: 17, 1: 3, 2: 6, 3: 0, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.9414801494009999}",20,0,-203.88546880523887,"{0: 9, 1: 3, 2: 2, 3: 3, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.9320653479069899}",20,0,-152.73513821683346,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.92274469442792}",20,0,-63.34920399858652,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9135172474836407}",20,0,-43.59529594199926,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.9043820750088043}",20,0,-120.84769437818353,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.8953382542587163}",20,0,-91.39585537779556,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8863848717161291}",35,13,-66.5853572955026,"{0: 14, 1: 4, 2: 3, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.8775210229989678}",25,0,-110.73247676893988,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8687458127689781}",30,0,-227.59728613113197,"{0: 16, 1: 5, 2: 2, 3: 4, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.8600583546412883}",20,0,-63.480765836944435,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.8514577710948754}",20,0,-47.04233433968116,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.8429431933839266}",30,0,-234.26211005266663,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 5}",0
19,False,"{'a': 0.5, 'e': 0.8345137614500874}",20,0,-98.0638327373838,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8261686238355865}",30,0,-179.97989595205055,"{0: 19, 1: 3, 2: 4, 3: 0, 4: 4}",0
21,False,"{'a': 0.5, 'e': 0.8179069375972307}",25,0,-194.29528545264722,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 3}",0
22,False,"{'a': 0.5, 'e': 0.8097278682212583}",20,0,-70.63859850622416,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.8016305895390458}",30,0,-140.71245141696306,"{0: 18, 1: 2, 2: 7, 3: 2, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.7936142836436553}",25,0,-255.7480509439236,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 6}",0
