trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.82328665303964,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-161.16777321483104,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-144.7025225262987,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.46362007666134,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-151.15466555468947,"{0: 16, 1: 5, 2: 6, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-173.41086829903853,"{0: 17, 1: 5, 2: 5, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-159.4411360092821,"{0: 11, 1: 2, 2: 10, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-58.67554623279594,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-152.60995576736025,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-159.37928974696058,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-87.14171097016639,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-240.23189585435028,"{0: 16, 1: 1, 2: 7, 3: 3, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-90.04228320755585,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-128.34068989826054,"{0: 9, 1: 0, 2: 10, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-111.13891107131882,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-87.49308230390405,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-253.28374954592437,"{0: 8, 1: 3, 2: 7, 3: 5, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,5,-54.70804784402202,"{0: 8, 1: 2, 2: 4, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-28.476029839960557,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.74069116891154,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",25,0,-126.03674828304092,"{0: 17, 1: 2, 2: 2, 3: 2, 4: 2}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,0,-135.8138114026619,"{0: 14, 1: 3, 2: 4, 3: 3, 4: 1}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-140.75767882332985,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-89.2941379510545,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,0,-122.36335444140737,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
6,True,"{'a': 0.0, 'e': 0.0}",30,0,-232.1659201034754,"{0: 15, 1: 6, 2: 4, 3: 1, 4: 4}",0
7,True,"{'a': 0.0, 'e': 0.0}",25,0,-183.8519029513697,"{0: 13, 1: 1, 2: 7, 3: 2, 4: 2}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,0,-120.31036682681645,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,0,-56.22168721979867,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-104.18900754509517,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
